ID    VERSION           CTIME     FECHA         LINEAS    HASH
1     1.0.0             4.551     10/07/2017    2122      502416584D79662DF8FB7F7B1AFDF185
2     1.0.0-1           4.263     10/07/2017    2122      F662523BFA3E5AFAA51FF27062A62CB0
3     1.0.1             4.534     10/07/2017    2124      F2087C8447B941ACBF7DFE1BD0121EE8
4     1.0.2             4.494     10/07/2017    2124      3AB1866211828F279204810F72992A9A
5     1.0.3             4.389     10/07/2017    2124      1E70C75DBA70CCE947F6721F98911DFB
6     1.0.4             4.521     10/07/2017    2124      350C2BA90F153E21DAF2962563BFE6D5
7     1.0.5             4.337     10/07/2017    2124      9C0218DC552C1A4265C218E7C4FF75D1
8     1.0.6             4.356     10/07/2017    2124      9ED9052B5345353A2BE10D6E257F7001
9     1.0.7             3.868     13/07/2017    2127      EFD50363BDE760F0EBF5E5A3A87068CF
10    1.0.7-1           4.117     13/07/2017    2127      5489AB73ABF73CABCD75296C2BA31A75
11    1.0.7-2           4.438     13/07/2017    2160      7F5ADC5168C436682789B3C244809937
12    1.0.8             4.521     21/07/2017    2160      BE9A0C22648CEFBB8BDB6CBFAC255D6B
