ID    VERSION           CTIME     FECHA         LINEAS    HASH
1     3.9.0-2           6.116     03/06/2017    2344      CDA118CA15A1B62756BE145D9F6E40AF
3     3.9.0             6.022     03/06/2017    2340      7577AD74EE151E1C94FCC7F50EA12894
4     3.9.0             5.903     03/06/2017    2340      150158658CE6881BA3F853585985D105
5     3.9.1             5.775     03/06/2017    2340      9FDBE2F40E28AD6F34296B50FDC7CF74
6     3.9.1-1           7.048     03/06/2017    2340      1BCDC1554CB91650432000C2E88D0D20
7     3.9.1-2           5.818     03/06/2017    2340      659D50B15DB38765BC7C11285B4943B1
8     3.9.1-3           5.398     03/06/2017    2340      82DFCA68483855A9FFD2EB66B0C0B4EB
9     3.9.4             5.030     08/06/2017    2348      A4930644F7637BAB5D42DC76CB3EB974
10    4.0.0-alpha-1     4.787     08/06/2017    2394      98A5D3F09A2E3F3FDA480F587306466E
11    4.0.0-alpha-2     5.282     08/06/2017    2393      D3B746B2427ADE06BFCD450F42C80910
12    4.0.0-alpha-3     5.324     08/06/2017    2393      18C0EFF8E5931C10E60451C48CDC41B9
13    4.0.0-alpha-4     5.328     08/06/2017    2393      B05FBBDEA068EEE95F7B29D63EE5AC31
14    4.0.0-alpha-5     5.200     08/06/2017    2393      ED242B99387211DC1CAFCF25020CF836
15    4.0.0-alpha-6     5.273     08/06/2017    2393      9EEA4F41B1F5C03B6E84E5320E307C85
16    4.0.0-alpha-7     5.904     10/06/2017    2435      9E7A7F580EFD34D87DAA05953E74553A
17    4.0.0-alpha-7.1   5.824     10/06/2017    2435      526BB4C805FE0D0FD5F0AE8E02F0A523
18    4.0.0-alpha-7.2   5.401     10/06/2017    2435      707C28FFC412543BFB339459BEDE209F
19    4.0.0-alpha-8     5.552     10/06/2017    2436      0C22E0D496FEF3B58574EC6BD3B1731E
20    4.0.0-alpha-8.1   5.628     10/06/2017    2436      4A5BA30B3F46BC6FC383E7807288BF20
21    4.0.0-alpha-9     5.355     10/06/2017    2436      7641E383E783F89CDF1DF7F98C12CC15
22    4.0.0-alpha-10    5.073     10/06/2017    2436      35035096381003F981CDEB6B754EC205
23    4.0.0-beta-1      5.427     11/06/2017    2447      937A799A5FD59EBB60C485EC6D64A231
24    4.0.0-beta-2      6.104     11/06/2017    2446      7EBEA46A83450A565562874D18826DF6
25    4.0.0-beta-3      6.628     11/06/2017    2498      C9C39FAAD66501E00D5F98057EE6FB27
26    4.0.0-beta-4      5.716     11/06/2017    2496      B8D5BFDE3DCA71D1D55A94B637766A65
27    4.0.0             5.146     12/06/2017    2496      D27117F1C39B4DBAC07573C6037FB9AC
28    4.0.0-1           4.940     12/06/2017    2496      044509C497322D82BCA3A9A13ED68902
29    4.0.1             5.391     19/06/2017    2502      E6E58DC7A4B3847F3DC94366EE385490
30    4.0.1-1           5.190     19/06/2017    2502      77BA436D435D8EF788D3F75921107A06
31    4.0.1-2           6.017     19/06/2017    2503      8E6D56B97BA33D3C1A7B11B271633A89
32    4.0.1-3           5.391     19/06/2017    2503      E5E752B5F5AF8590431B6C47AC61C8B0
33    4.0.1-4           5.363     19/06/2017    2503      95FD508A5B0C0262C09C72FE657C4CBB
34    4.0.2             5.185     19/06/2017    2503      D3A9833ADC4478660B5C856BB304B482
35    4.0.3             5.034     20/06/2017    2508      F37DCEDDAF65301A78F247FE645A7536
36    4.0.4             4.665     20/06/2017    2509      A4FC3996D4E77750ECB3A743662ECF75
37    4.0.4-1           4.586     20/06/2017    2509      599B86C6A6DADE32A2DFAFF12B952494
38    4.0.5             4.789     20/06/2017    2525      31BB637B93BBF4349B91AEAB9D2247E4
39    4.0.5-1           4.868     20/06/2017    2525      075DC77B19DA578CB3A14132A501C496
40    4.0.5-2           5.669     04/07/2017    2525      CE85880C00D0FB92616324BE498B2BBD
41    4.0.5-3           5.263     04/07/2017    2526      995B10C016D0D361010A88FDF4ED4BD2
